Myanmar - Points: 3 +/-: 2/10, Wins: 0, Losses: 5, Draws: 3
The season terminated. 

The season start: 

VietNam - Points: 24 +/-: 21/4, Wins: 8, Losses: 0, Draws: 0
Indonesia - Points: 18 +/-: 11/5, Wins: 6, Losses: 2, Draws: 0
Malaisia - Points: 17 +/-: 10/6, Wins: 5, Losses: 1, Draws: 2
Australia - Points: 11 +/-: 12/11, Wins: 3, Losses: 3, Draws: 2
ThaiLand - Points: 10 +/-: 5/5, Wins: 2, Losses: 2, Draws: 4
Singapore - Points: 6 +/-: 2/5, Wins: 1, Losses: 4, Draws: 3
Myanmar - Points: 5 +/-: 2/9, Wins: 1, Losses: 5, Draws: 2
Philipin - Points: 5 +/-: 1/8, Wins: 1, Losses: 5, Draws: 2
Campuchia - Points: 3 +/-: 1/12, Wins: 0, Losses: 5, Draws: 3
The season terminated. 

The season start: 

VietNam - Points: 24 +/-: 17/6, Wins: 8, Losses: 0, Draws: 0
Australia - Points: 19 +/-: 15/6, Wins: 6, Losses: 1, Draws: 1
Indonesia - Points: 14 +/-: 11/7, Wins: 4, Losses: 2, Draws: 2
Philipin - Points: 11 +/-: 7/7, Wins: 3, Losses: 3, Draws: 2
Malaisia - Points: 6 +/-: 6/8, Wins: 0, Losses: 2, Draws: 6
ThaiLand - Points: 6 +/-: 4/8, Wins: 1, Losses: 4, Draws: 3
Singapore - Points: 5 +/-: 3/6, Wins: 0, Losses: 3, Draws: 5
Myanmar - Points: 5 +/-: 1/7, Wins: 0, Losses: 3, Draws: 5
Campuchia - Points: 4 +/-: 0/9, Wins: 0, Losses: 4, Draws: 4
The season terminated. 

The season start: 

VietNam - Points: 22 +/-: 18/8, Wins: 7, Losses: 0, Draws: 1
Indonesia - Points: 16 +/-: 11/5, Wins: 5, Losses: 2, Draws: 1
Australia - Points: 15 +/-: 15/10, Wins: 5, Losses: 3, Draws: 0
ThaiLand - Points: 14 +/-: 8/6, Wins: 4, Losses: 2, Draws: 2
Malaisia - Points: 10 +/-: 7/7, Wins: 2, Losses: 2, Draws: 4
Philipin - Points: 7 +/-: 4/8, Wins: 1, Losses: 3, Draws: 4
Myanmar - Points: 6 +/-: 2/7, Wins: 1, Losses: 4, Draws: 3
Singapore - Points: 5 +/-: 2/8, Wins: 1, Losses: 5, Draws: 2
Campuchia - Points: 3 +/-: 0/8, Wins: 0, Losses: 5, Draws: 3
The season terminated. 

The season start: 

Malaisia - Points: 18 +/-: 13/7, Wins: 5, Losses: 0, Draws: 3
VietNam - Points: 16 +/-: 15/8, Wins: 4, Losses: 0, Draws: 4
Australia - Points: 16 +/-: 13/6, Wins: 4, Losses: 0, Draws: 4
Indonesia - Points: 13 +/-: 10/6, Wins: 3, Losses: 1, Draws: 4
Myanmar - Points: 12 +/-: 6/6, Wins: 3, Losses: 2, Draws: 3
ThaiLand - Points: 7 +/-: 6/8, Wins: 1, Losses: 3, Draws: 4
Philipin - Points: 7 +/-: 3/8, Wins: 1, Losses: 3, Draws: 4
Campuchia - Points: 3 +/-: 0/9, Wins: 0, Losses: 5, Draws: 3
Singapore - Points: 1 +/-: 0/8, Wins: 0, Losses: 7, Draws: 1
The season terminated. 

The season start: 

VietNam - Points: 24 +/-: 21/6, Wins: 8, Losses: 0, Draws: 0
